variant,task,run,seconds
containerised,update,1,3.2
containerised,update,2,1.9
containerised,update,3,1.9
containerised,fault_diagnosis,1,3.5
containerised,fault_diagnosis,2,3.6
containerised,fault_diagnosis,3,3.6
containerised,recovery,1,4.6
containerised,recovery,2,13.6
containerised,recovery,3,13.5
containerised,clean_reinstall,1,16.2
containerised,clean_reinstall,2,7.2
containerised,clean_reinstall,3,7.2
